"hour","TDR_10bhs_vwc","TDR_30bhs_vwc","TDR_50bhs_vwc","TDR_10bhs_t","TDR_30bhs_t","TDR_50bhs_t"
2025-12-28 17:00:00,34.475,38.35,41.425,2,3.20833333333333,3.7
2025-12-28 18:00:00,34.4083333333333,38.3,41.4333333333333,2,3.20833333333333,3.7
2025-12-28 19:00:00,34.4,38.275,41.4416666666667,2,3.23333333333333,3.7
2025-12-28 20:00:00,34.4,38.325,41.4083333333333,2,3.21666666666667,3.7
2025-12-28 21:00:00,34.4833333333333,38.25,41.4083333333333,2,3.20833333333333,3.7
2025-12-28 22:00:00,34.4416666666667,38.2166666666667,41.4083333333333,2,3.23333333333333,3.7
2025-12-28 23:00:00,34.35,38.2666666666667,41.3833333333333,2,3.23333333333333,3.7
2025-12-29,34.4083333333333,38.225,41.3583333333333,2,3.20833333333333,3.7
2025-12-29 01:00:00,34.4,38.1916666666667,41.35,2,3.20833333333333,3.7
2025-12-29 02:00:00,34.3833333333333,38.15,41.325,1.99166666666667,3.20833333333333,3.7
2025-12-29 03:00:00,34.3166666666667,38.2166666666667,41.3083333333333,2,3.2,3.7
2025-12-29 04:00:00,34.3083333333333,38.1416666666667,41.3166666666667,2,3.20833333333333,3.7
2025-12-29 05:00:00,34.2666666666667,38.15,41.3,1.99166666666667,3.225,3.7
2025-12-29 06:00:00,34.3,38.1,41.3333333333333,2,3.20833333333333,3.7
2025-12-29 07:00:00,34.3,38.1416666666667,41.3,2,3.225,3.7
2025-12-29 08:00:00,34.2583333333333,38.1416666666667,41.3,2,3.20833333333333,3.7
2025-12-29 09:00:00,34.3,38.1083333333333,41.2916666666667,2,3.21666666666667,3.7
2025-12-29 10:00:00,34.3166666666667,38.15,41.325,2,3.2,3.7
2025-12-29 11:00:00,34.3583333333333,38.1333333333333,41.2916666666667,1.93333333333333,3.20833333333333,3.7
2025-12-29 12:00:00,34.5833333333333,38.25,41.3333333333333,1.8,3.20833333333333,3.7
2025-12-29 13:00:00,34.5666666666667,38.4583333333333,41.4166666666667,1.8,3.2,3.7
2025-12-29 14:00:00,34.6166666666667,38.4583333333333,41.5083333333333,1.83333333333333,3.2,3.7
2025-12-29 15:00:00,34.6583333333333,38.55,41.5166666666667,1.84166666666667,3.2,3.7
2025-12-29 16:00:00,34.6083333333333,38.6416666666667,41.5666666666667,1.84166666666667,3.2,3.7
2025-12-29 17:00:00,34.6833333333333,38.65,41.6416666666667,1.85,3.2,3.7
2025-12-29 18:00:00,34.7416666666667,38.6833333333333,41.625,1.89166666666667,3.2,3.7
2025-12-29 19:00:00,34.7083333333333,38.7,41.7083333333333,1.89166666666667,3.2,3.7
